Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20081,ANTH,1190,015,,,"TODD, BRENDA",20,15,1,4.666015625,1.04638671875,5.19921875,0.86181640625,4-6,3.93310546875,4.599609375,5.3994140625,4.4658203125,4.732421875,5.8662109375,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1190,016,,,"TODD, BRENDA",20,13,1,4.7685546875,0.83203125,5.076171875,1.255615234375,4-6,3.69189453125,4.4609375,4.845703125,4,4.9228515625,5.69140625,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1190,017,,,"HEDGEPETH, JESSICA",21,15,1,4,1,4.4658203125,0.7431640625,4-6,3.3330078125,3.93310546875,4.7998046875,3.73291015625,4.3994140625,5.9326171875,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1190,018,,,"HEDGEPETH, JESSICA",21,17,1,3.3525390625,1.05712890625,3.587890625,1.416748046875,4-6,2.94091796875,3.587890625,4.05859375,4.234375,3.94091796875,5.646484375,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1190,019,,,"FORDE, JAMIE",20,15,1,4.8662109375,1.355712890625,5.732421875,0.593505859375,4-6,4,5.2666015625,5.666015625,4.599609375,4.927734375,5.9326171875,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1190,020,,,"JENNINGS, SARAH",21,18,1,3.77734375,1.3955078125,3.9443359375,1.5517578125,4-6,4,3.888671875,4.5,4.5,4.1103515625,5.1103515625,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1200,010,,,"LAWRENCE, PATRICIA",128,103,0.776611328125,4.1748046875,1.240234375,4.064453125,1.533203125,4-6,4.13671875,4.0498046875,4.05078125,3.8623046875,4.537109375,5.7998046875,"CULTURE AND POWER",,,,,,,BD,AS,SS,LD,ANTH,OTH,1
20081,ANTH,1200,010,,,"BLANFORD, ADAM",128,76,0.9736328125,4.6484375,1.139892578125,4.6484375,1.209716796875,4-6,4.296875,4.458984375,4.75,4.3916015625,4.755859375,5.7431640625,"CULTURE AND POWER",,,,,,,BD,AS,SS,LD,ANTH,TA,2
20081,ANTH,1200,010,,,"FISCHER, KATHERINE",128,83,0.975830078125,4.591796875,1.033935546875,4.9873046875,0.9681396484375,4-6,4.197265625,4.580078125,5.087890625,4.271484375,4.6787109375,5.7646484375,"CULTURE AND POWER",,,,,,,BD,AS,SS,LD,ANTH,TA,3
20081,ANTH,1200,011,,,"BLANFORD, ADAM",25,19,1,4.89453125,0.875244140625,5.1044921875,0.7374267578125,4-6,4.2626953125,4.736328125,5,4.3681640625,5.1572265625,5.7890625,REC,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1200,012,,,"FISCHER, KATHERINE",19,14,0.928466796875,4.69140625,1.031494140625,5.3564453125,0.744873046875,4-6,4.0712890625,4.78515625,5.0712890625,3.92822265625,4.28515625,5.78515625,REC,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1200,013,,,"FISCHER, KATHERINE",25,20,1,4.5498046875,1.050048828125,5.0498046875,0.9444580078125,4-6,4.2998046875,4.7998046875,5.349609375,4.2998046875,4.5,5.7998046875,REC,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1200,016,,,"BLANFORD, ADAM",16,11,1,5.0908203125,0.7005615234375,5.544921875,0.522216796875,0-3,4.544921875,5.181640625,5.7265625,4.36328125,5.181640625,6,REC,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1200,017,,,"FISCHER, KATHERINE",21,19,1,5.1044921875,0.8092041015625,5.3681640625,0.955078125,4-6,3.89453125,4.7890625,5.2099609375,3.841796875,4.947265625,5.89453125,REC,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,1200,018,,,"BLANFORD, ADAM",22,16,1,4.375,1.360107421875,4.8125,0.9105224609375,4-6,3.875,4.375,4.625,4,4.625,5.5625,REC,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2020,001,,,"SAUTHER, MICHELLE",88,54,1,3.57373046875,1.23779296875,3.61083984375,1.522216796875,4-6,3.67919921875,3.5,4.4072265625,4.0361328125,4,5.490234375,"INTRO TO PHYSICAL ANTH 2",,,,,,,BD,AS,SS,LD,ANTH,TTT,1
20081,ANTH,2020,002,,,"VAN GERVEN, DENNIS",446,307,0.9869384765625,5.2373046875,1.052978515625,5.388671875,1.091796875,4-6,3.83203125,5.412109375,4.75,4.8125,5.203125,5.5126953125,"INTRO TO PHYSICAL ANTH 2",,,,,,,BD,AS,SS,LD,ANTH,TTT,1
